Breed,count,mental_mean,mental_std,mental_sem,histogram,morbidity
saluki,37,-2.451453907791718,7.170710906457312,1.1788576112810627,"[0.         0.05405405 0.08108108 0.13513514 0.18918919 0.13513514
 0.2972973  0.08108108 0.02702703]",1584.0
samoyed,109,0.3619837738429249,3.9797343888675294,0.38118942058558547,"[0.         0.         0.         0.0733945  0.10091743 0.35779817
 0.39449541 0.0733945  0.        ]",1554.0
schipperke,74,-1.0106978179890354,5.195482304202344,0.6039625499988199,"[0.         0.         0.02702703 0.12162162 0.21621622 0.2972973
 0.21621622 0.12162162 0.        ]",1335.0
schnauzer,72,0.5053161651378749,4.899481283702013,0.5774094066670441,"[0.         0.         0.         0.06944444 0.13888889 0.30555556
 0.30555556 0.16666667 0.01388889]",1622.0
shetland_sheepdog,411,-0.13958637282173042,4.673858450261053,0.23054443556823495,"[0.         0.00486618 0.01216545 0.05839416 0.17761557 0.31386861
 0.33333333 0.09975669 0.        ]",1462.0
shiba,35,-0.5344933565718999,4.643997726180614,0.7849788874462205,"[0.         0.         0.         0.08571429 0.22857143 0.28571429
 0.31428571 0.08571429 0.        ]",1399.0
siberian_husky,111,-0.3748146680206824,5.538351002986211,0.5256770137768235,"[0.         0.         0.06306306 0.07207207 0.13513514 0.24324324
 0.35135135 0.13513514 0.        ]",1256.0
smooth_collie,203,1.611778925596996,4.555863798278901,0.3197589528433707,"[0.         0.         0.01477833 0.01970443 0.1182266  0.27093596
 0.36945813 0.18719212 0.01970443]",1656.0
spanish_water_dog,251,-0.9277245329448855,5.228428525839668,0.3300154822506896,"[0.         0.00398406 0.03585657 0.09960159 0.16334661 0.30278884
 0.31474104 0.07968127 0.        ]",1446.0
staffordshire_bull_terrier,200,1.1495253617528287,4.538521659524988,0.32092194420121417,[0.    0.005 0.005 0.04  0.085 0.31  0.385 0.165 0.005],1810.0
standard_poodle,97,1.4751937955295362,5.165223174649666,0.5244489542439836,"[0.         0.         0.02061856 0.04123711 0.11340206 0.2371134
 0.32989691 0.2371134  0.02061856]",1609.0956545388426
swedish_vallhund,77,-1.8530772634173884,5.574270051924305,0.6352470284589897,"[0.         0.         0.06493506 0.12987013 0.18181818 0.27272727
 0.28571429 0.05194805 0.01298701]",1345.0
tibetan_spaniel,75,-0.934932479281743,5.825291692020954,0.6726467452992776,"[0.01333333 0.         0.05333333 0.08       0.16       0.26666667
 0.30666667 0.12       0.        ]",1312.0
tibetan_terrier,104,0.329305268607631,4.689133868292931,0.45980740569758605,"[0.         0.01923077 0.01923077 0.01923077 0.11538462 0.38461538
 0.33653846 0.09615385 0.00961538]",1511.0
toy_poodle,21,-0.26613797690769647,5.949019301483877,1.2981824409430087,"[0.         0.         0.04761905 0.04761905 0.23809524 0.19047619
 0.28571429 0.19047619 0.        ]",1444.1207152223171
welsh_corgi_cardigan,85,-0.5021373801841392,5.555480406561171,0.6025764539989444,"[0.         0.01176471 0.03529412 0.04705882 0.24705882 0.23529412
 0.30588235 0.10588235 0.01176471]",1552.0
welsh_corgi_pembroke,112,0.698590427655299,4.13618929127897,0.3908331514361662,"[0.         0.         0.         0.05357143 0.10714286 0.375
 0.35714286 0.09821429 0.00892857]",1552.0
welsh_springer_spaniel,66,-2.6125715581559166,5.4650214715802905,0.672697641170885,"[0.         0.         0.07575758 0.13636364 0.1969697  0.27272727
 0.28787879 0.03030303 0.        ]",1650.0
west_highland_white_terrier,95,0.5820455108406019,4.277872418893581,0.4389004494766968,"[0.         0.         0.01052632 0.02105263 0.14736842 0.33684211
 0.37894737 0.09473684 0.01052632]",1571.0
wheaten_terrier,351,0.9389246698594694,4.642578913232494,0.24780253009011574,"[0.         0.002849   0.00854701 0.06267806 0.10826211 0.25071225
 0.41310541 0.15099715 0.002849  ]",1602.0
whippet,169,1.368063909786124,4.677097785581519,0.3597767527370399,"[0.00591716 0.         0.01183432 0.0295858  0.11242604 0.25443787
 0.3964497  0.17751479 0.01183432]",1543.0
white_swiss_shepherd,148,0.2595555254608616,4.719846754956194,0.3879690133756376,"[0.         0.         0.01351351 0.06081081 0.18243243 0.28378378
 0.32432432 0.13513514 0.        ]",1522.0
wirehaired_dachshund,104,-0.4990393812450037,4.440859581173086,0.43546210887552017,"[0.         0.         0.00961538 0.08653846 0.15384615 0.38461538
 0.28846154 0.07692308 0.        ]",1326.0
wirehaired_miniature_dachshund,33,-0.3258976697842859,5.532288838511703,0.9630478730779874,"[0.         0.         0.06060606 0.         0.3030303  0.15151515
 0.39393939 0.09090909 0.        ]",1569.0
